model,accuracy,precision,recall,f1,roc_auc,best_params
logistic_regression,0.7395,0.506,0.7834,0.6149,0.8411,{'model__C': 3.0}
random_forest,0.7637,0.539,0.7567,0.6296,0.841,"{'model__max_depth': 12, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
